55255
4
engrpm,800,1800,100,10;EGRkgph,0,200,20,11;MSPhum,40,80,4,12;EngTq,0,1400,140,13
Iteration,Year,Month,Day,Latitude,Longitude,RelativeError,NOxTheoryppm,AbsError,pass,engrpm,EGRkgph,MSPhum,EngTq
3522059285,2015,8,10,44.9466,-93.1095,12.4824,525.358,80.0679,1,5,4,6,6
3522059286,2015,8,10,44.9466,-93.1096,5.20942,484.561,91.2339,1,5,5,6,4
3522059287,2015,8,10,44.9466,-93.1097,7.88106,426.994,64.4302,1,6,4,6,4
3522059288,2015,8,10,44.9466,-93.1099,17.9335,420.323,67.823,1,6,3,6,3
3522059289,2015,8,10,44.9466,-93.11,32.0395,376.122,10.8602,1,6,3,6,2
3522059290,2015,8,10,44.9466,-93.1101,40.409,371.491,7.24869,1,6,3,6,2
3522059291,2015,8,10,44.9466,-93.1103,41.5791,433.697,70.897,1,6,3,6,3
3522059292,2015,8,10,44.9466,-93.1104,44.0449,427.22,40.9115,1,6,3,6,3
3522059293,2015,8,10,44.9466,-93.1105,42.8065,429.963,41.9813,1,6,3,6,3
3522059294,2015,8,10,44.9466,-93.1107,39.8923,458.599,72.1502,1,6,3,6,3
3522059295,2015,8,10,44.9466,-93.1108,25.682,383.31,31.8046,1,2,1,6,3
3522059296,2015,8,10,44.9466,-93.1109,28.2487,453.716,67.9522,1,2,3,6,3
3522059297,2015,8,10,44.9466,-93.1111,31.2794,441.154,38.7695,1,2,3,6,2
3522059298,2015,8,10,44.9466,-93.1112,33.4541,201.283,109.983,1,2,5,6,0
3522059299,2015,8,10,44.9466,-93.1113,36.9798,101.093,112.428,1,5,2,6,0
3522059300,2015,8,10,44.9466,-93.1114,43.8727,173.683,2.89127,1,5,2,6,0
3522059301,2015,8,10,44.9466,-93.1116,46.2931,196.85,43.31,1,5,1,6,1
3522059302,2015,8,10,44.9466,-93.1117,27.4344,340.309,172.71,1,5,2,6,3
3522059303,2015,8,10,44.9466,-93.1118,18.3153,409.015,179.046,1,5,2,6,4
3522059304,2015,8,10,44.9466,-93.1119,35.2651,473.898,60.2614,1,5,4,6,5
3522059305,2015,8,10,44.9466,-93.1121,27.9045,456.581,53.5075,1,6,4,6,4
3522059306,2015,8,10,44.9466,-93.1122,24.2433,457.162,88.5507,1,6,4,6,3
3522059307,2015,8,10,44.9466,-93.1123,30.2669,366.288,4.85256,1,6,3,6,2
3522059308,2015,8,10,44.9466,-93.1124,39.0169,330.559,24.1906,1,6,3,6,2
3522059309,2015,8,10,44.9466,-93.1126,47.6962,256.019,71.1366,1,6,3,6,1
3522059310,2015,8,10,44.9466,-93.1127,54.4163,261.606,43.9664,1,6,3,6,1
3522059311,2015,8,10,44.9466,-93.1128,53.9058,194.378,48.203,1,5,2,6,0
3522059312,2015,8,10,44.9466,-93.113,42.6813,288.237,87.8352,1,5,2,6,1
3522059313,2015,8,10,44.9466,-93.1131,40.1816,367.382,131.661,1,5,2,6,2
3522059314,2015,8,10,44.9466,-93.1132,46.192,425.578,82.3259,1,5,2,6,3
3522059315,2015,8,10,44.9466,-93.1133,47.092,383.981,3.09099,1,5,2,6,2
3522059316,2015,8,10,44.9466,-93.1135,45.6783,321.321,44.068,1,5,2,6,1
3522059317,2015,8,10,44.9466,-93.1136,38.5574,366.878,45.3873,1,5,2,6,2
3522059318,2015,8,10,44.9466,-93.1137,31.7235,441.548,125.294,1,6,2,6,3
3522059319,2015,8,10,44.9466,-93.1138,53.0588,202.478,163.602,1,6,2,6,1
3522059320,2015,8,10,44.9466,-93.114,45.8775,320.112,18.201,1,6,2,6,2
3522059321,2015,8,10,44.9466,-93.1141,61.7599,147.153,174.311,1,6,2,6,0
3522059322,2015,8,10,44.9466,-93.1142,58.1423,142.538,76.8033,1,6,2,6,0
3522059323,2015,8,10,44.9466,-93.1144,55.9892,134.397,21.0491,1,5,1,6,0
